ZIP,geometry
92021,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.961418,32.825183,0.0 -116.945472,32.826832,0.0 -116.790958,32.885118,0.0 -116.820651,32.827932,0.0 -116.944372,32.79494,0.0 -116.961418,32.825183,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92024,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.313885,33.08857,0.0 -117.217108,33.095169,0.0 -117.20776,33.095169,0.0 -117.192363,33.056678,0.0 -117.211059,33.039082,0.0 -117.244601,33.019287,0.0 -117.29024,33.031384,0.0 -117.313885,33.08857,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92025,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.90863,33.08912,0.0 -116.99716,33.050079,0.0 -117.041699,33.042931,0.0 -117.071392,33.055578,0.0 -117.105484,33.127061,0.0 -117.070292,33.135859,0.0 -116.90863,33.08912,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92026,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.113732,33.129261,0.0 -117.161021,33.242534,0.0 -117.158271,33.25903,0.0 -117.159371,33.317866,0.0 -117.131328,33.340411,0.0 -117.060944,33.208442,0.0 -117.070292,33.135859,0.0 -117.105484,33.127061,0.0 -117.113732,33.129261,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92027,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.893234,33.163903,0.0 -116.90863,33.08912,0.0 -117.070292,33.135859,0.0 -117.060944,33.208442,0.0 -116.893234,33.163903,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92028,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.159371,33.317866,0.0 -117.259997,33.283774,0.0 -117.280343,33.292022,0.0 -117.255598,33.402546,0.0 -117.509638,33.491625,0.0 -117.509638,33.504822,0.0 -117.364473,33.504822,0.0 -117.33313,33.478428,0.0 -117.141225,33.432789,0.0 -117.088988,33.43004,0.0 -117.104384,33.361856,0.0 -117.131328,33.340411,0.0 -117.159371,33.317866,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92029,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.20776,33.095169,0.0 -117.171468,33.095169,0.0 -117.129128,33.13311,0.0 -117.113732,33.129261,0.0 -117.105484,33.127061,0.0 -117.071392,33.055578,0.0 -117.192363,33.056678,0.0 -117.20776,33.095169,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92036,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.514374,32.970898,0.0 -116.74147,32.986844,0.0 -116.730473,33.016537,0.0 -116.615,33.194695,0.0 -116.417047,33.134759,0.0 -116.285628,33.064926,0.0 -116.447839,32.987944,0.0 -116.103071,32.87907,0.0 -116.102521,32.855975,0.0 -116.10637,32.644825,0.0 -116.208646,32.660771,0.0 -116.220193,32.829032,0.0 -116.376356,32.83673,0.0 -116.514374,32.970898,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92037,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.229205,32.824083,0.0 -117.262197,32.804837,0.0 -117.259997,32.928558,0.0 -117.213808,32.872471,0.0 -117.233054,32.838379,0.0 -117.229205,32.824083,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92040,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.790958,32.885118,0.0 -116.945472,32.826832,0.0 -116.971316,32.928008,0.0 -116.971866,32.9632,0.0 -116.758516,32.958801,0.0 -116.779411,32.892817,0.0 -116.790958,32.885118,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92054,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.41616,33.232086,0.0 -117.29244,33.282125,0.0 -117.33368,33.208442,0.0 -117.327082,33.181498,0.0 -117.359524,33.165002,0.0 -117.41616,33.232086,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92055,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.280343,33.292022,0.0 -117.29244,33.282125,0.0 -117.41616,33.232086,0.0 -117.578922,33.380551,0.0 -117.463449,33.367904,0.0 -117.564625,33.452584,0.0 -117.509638,33.491625,0.0 -117.255598,33.402546,0.0 -117.280343,33.292022,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92056,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.260547,33.235935,0.0 -117.256698,33.152905,0.0 -117.327082,33.181498,0.0 -117.33368,33.208442,0.0 -117.259997,33.240884,0.0 -117.260547,33.235935,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92057,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.237453,33.25793,0.0 -117.259997,33.240884,0.0 -117.33368,33.208442,0.0 -117.29244,33.282125,0.0 -117.280343,33.292022,0.0 -117.259997,33.283774,0.0 -117.237453,33.25793,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92059,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.86739,33.42674,0.0 -116.880037,33.34426,0.0 -116.865191,33.314017,0.0 -117.027952,33.34481,0.0 -117.104384,33.361856,0.0 -117.088988,33.43004,0.0 -116.86739,33.42674,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92061,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.819002,33.256281,0.0 -117.027952,33.34481,0.0 -116.865191,33.314017,0.0 -116.819002,33.256281,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92064,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.971316,32.928008,0.0 -117.054346,32.92086,0.0 -117.066443,32.932407,0.0 -117.041699,33.042931,0.0 -116.99716,33.050079,0.0 -116.971866,32.9632,0.0 -116.971316,32.928008,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92065,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.99716,33.050079,0.0 -116.90863,33.08912,0.0 -116.893234,33.163903,0.0 -116.730473,33.016537,0.0 -116.74147,32.986844,0.0 -116.758516,32.958801,0.0 -116.971866,32.9632,0.0 -116.99716,33.050079,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92066,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.513824,33.165002,0.0 -116.611151,33.232636,0.0 -116.567161,33.341511,0.0 -116.513824,33.165002,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92069,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.231954,33.13091,0.0 -117.233604,33.134759,0.0 -117.20501,33.161703,0.0 -117.161021,33.242534,0.0 -117.113732,33.129261,0.0 -117.129128,33.13311,0.0 -117.171468,33.095169,0.0 -117.20776,33.095169,0.0 -117.217108,33.095169,0.0 -117.231954,33.13091,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92070,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.893234,33.163903,0.0 -116.819002,33.256281,0.0 -116.865191,33.314017,0.0 -116.880037,33.34426,0.0 -116.615,33.194695,0.0 -116.730473,33.016537,0.0 -116.893234,33.163903,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92071,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.009807,32.816385,0.0 -117.059295,32.816935,0.0 -117.070842,32.811986,0.0 -117.070292,32.851026,0.0 -117.059295,32.896666,0.0 -117.054346,32.92086,0.0 -116.971316,32.928008,0.0 -116.945472,32.826832,0.0 -116.961418,32.825183,0.0 -117.009807,32.816385,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92075,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.278143,32.999491,0.0 -117.242402,33.008289,0.0 -117.270445,32.974747,0.0 -117.278143,32.999491,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92078,
92082,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.131328,33.340411,0.0 -117.104384,33.361856,0.0 -117.027952,33.34481,0.0 -116.819002,33.256281,0.0 -116.893234,33.163903,0.0 -117.060944,33.208442,0.0 -117.131328,33.340411,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92083,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.233604,33.134759,0.0 -117.256698,33.152905,0.0 -117.260547,33.235935,0.0 -117.20501,33.161703,0.0 -117.233604,33.134759,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92084,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.259997,33.240884,0.0 -117.237453,33.25793,0.0 -117.158271,33.25903,0.0 -117.161021,33.242534,0.0 -117.20501,33.161703,0.0 -117.260547,33.235935,0.0 -117.259997,33.240884,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92086,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.513824,33.165002,0.0 -116.417047,33.134759,0.0 -116.615,33.194695,0.0 -116.880037,33.34426,0.0 -116.86739,33.42674,0.0 -116.682084,33.42729,0.0 -116.617749,33.42729,0.0 -116.567161,33.341511,0.0 -116.611151,33.232636,0.0 -116.513824,33.165002,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92091,
92096,
92101,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.147824,32.719608,0.0 -117.147274,32.705311,0.0 -117.150023,32.695963,0.0 -117.215458,32.727856,0.0 -117.213808,32.728405,0.0 -117.184115,32.740503,0.0 -117.178617,32.739403,0.0 -117.147274,32.739953,0.0 -117.145624,32.735004,0.0 -117.147824,32.719608,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92102,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.147824,32.719608,0.0 -117.145624,32.735004,0.0 -117.147274,32.739953,0.0 -117.143975,32.739953,0.0 -117.117581,32.719608,0.0 -117.085139,32.717958,0.0 -117.085139,32.704761,0.0 -117.147274,32.705311,0.0 -117.147824,32.719608,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92103,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.147274,32.739953,0.0 -117.178617,32.739403,0.0 -117.195113,32.760298,0.0 -117.161571,32.759198,0.0 -117.145075,32.756999,0.0 -117.143975,32.739953,0.0 -117.147274,32.739953,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92104,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.113732,32.756999,0.0 -117.117581,32.719608,0.0 -117.143975,32.739953,0.0 -117.145075,32.756999,0.0 -117.113732,32.756999,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92105,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.060944,32.732255,0.0 -117.085139,32.717958,0.0 -117.117581,32.719608,0.0 -117.113732,32.756999,0.0 -117.100535,32.756999,0.0 -117.060944,32.732255,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92106,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.24735,32.677817,0.0 -117.255049,32.712459,0.0 -117.226455,32.744902,0.0 -117.212709,32.744352,0.0 -117.217108,32.722357,0.0 -117.24735,32.677817,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92107,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.255049,32.712459,0.0 -117.255598,32.71026,0.0 -117.229205,32.756999,0.0 -117.226455,32.744902,0.0 -117.255049,32.712459,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92108,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.197862,32.762497,0.0 -117.183016,32.766896,0.0 -117.16322,32.778993,0.0 -117.113732,32.788341,0.0 -117.104934,32.790541,0.0 -117.101085,32.778993,0.0 -117.097236,32.771845,0.0 -117.161571,32.759198,0.0 -117.195113,32.760298,0.0 -117.195663,32.760848,0.0 -117.197862,32.762497,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92109,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.262197,32.804837,0.0 -117.229205,32.824083,0.0 -117.20666,32.789991,0.0 -117.204461,32.761948,0.0 -117.262197,32.804837,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92110,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-117.204461,32.761948,0.0 -117.20666,32.789991,0.0 -117.189614,32.797689,0.0 -117.183016,32.766896,0.0 -117.197862,32.762497,0.0 -117.204461,32.761948,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-117.184115,32.740503,0.0 -117.208859,32.742702,0.0 -117.212709,32.744352,0.0 -117.226455,32.744902,0.0 -117.229205,32.756999,0.0 -117.195663,32.760848,0.0 -117.195113,32.760298,0.0 -117.178617,32.739403,0.0 -117.184115,32.740503,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
92111,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.189614,32.797689,0.0 -117.174218,32.841679,0.0 -117.133527,32.841129,0.0 -117.16322,32.778993,0.0 -117.183016,32.766896,0.0 -117.189614,32.797689,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92113,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.150023,32.695963,0.0 -117.147274,32.705311,0.0 -117.085139,32.704761,0.0 -117.085139,32.692114,0.0 -117.110983,32.682766,0.0 -117.128029,32.687715,0.0 -117.150023,32.695963,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92114,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.085139,32.704761,0.0 -117.085139,32.717958,0.0 -117.060944,32.732255,0.0 -117.059295,32.733354,0.0 -117.023003,32.718508,0.0 -117.024653,32.697613,0.0 -117.064244,32.688815,0.0 -117.085139,32.692114,0.0 -117.085139,32.704761,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92115,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.059295,32.733354,0.0 -117.060944,32.732255,0.0 -117.100535,32.756999,0.0 -117.097236,32.771845,0.0 -117.101085,32.778993,0.0 -117.077441,32.779543,0.0 -117.068093,32.776794,0.0 -117.046648,32.773495,0.0 -117.048847,32.743252,0.0 -117.059295,32.733354,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92116,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.113732,32.756999,0.0 -117.145075,32.756999,0.0 -117.161571,32.759198,0.0 -117.097236,32.771845,0.0 -117.100535,32.756999,0.0 -117.113732,32.756999,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92117,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.189614,32.797689,0.0 -117.20666,32.789991,0.0 -117.229205,32.824083,0.0 -117.233054,32.838379,0.0 -117.178067,32.847727,0.0 -117.174218,32.841679,0.0 -117.189614,32.797689,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92118,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.132977,32.610183,0.0 -117.134627,32.609084,0.0 -117.194013,32.684966,0.0 -117.189614,32.706411,0.0 -117.170369,32.676718,0.0 -117.153872,32.677268,0.0 -117.132977,32.610183,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92119,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.046648,32.785042,0.0 -117.059295,32.816935,0.0 -117.009807,32.816385,0.0 -117.005957,32.79439,0.0 -117.046648,32.785042,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92120,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.046098,32.774045,0.0 -117.046648,32.773495,0.0 -117.068093,32.776794,0.0 -117.077441,32.779543,0.0 -117.101085,32.778993,0.0 -117.104934,32.790541,0.0 -117.070842,32.811986,0.0 -117.059295,32.816935,0.0 -117.046648,32.785042,0.0 -117.046098,32.774045,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92121,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.261097,32.934607,0.0 -117.240752,32.931857,0.0 -117.168719,32.930208,0.0 -117.156072,32.881819,0.0 -117.189614,32.864773,0.0 -117.213808,32.872471,0.0 -117.259997,32.928558,0.0 -117.261097,32.934607,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92122,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.233054,32.838379,0.0 -117.213808,32.872471,0.0 -117.189614,32.864773,0.0 -117.178067,32.847727,0.0 -117.233054,32.838379,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92123,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.133527,32.841129,0.0 -117.12253,32.843328,0.0 -117.113732,32.788341,0.0 -117.16322,32.778993,0.0 -117.133527,32.841129,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92124,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.113732,32.788341,0.0 -117.12253,32.843328,0.0 -117.070292,32.851026,0.0 -117.070842,32.811986,0.0 -117.104934,32.790541,0.0 -117.113732,32.788341,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92126,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.114832,32.893366,0.0 -117.156072,32.881819,0.0 -117.168719,32.930208,0.0 -117.113732,32.926909,0.0 -117.114832,32.893366,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92127,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.146174,33.00444,0.0 -117.16597,33.011039,0.0 -117.211059,33.039082,0.0 -117.192363,33.056678,0.0 -117.071392,33.055578,0.0 -117.082939,32.997842,0.0 -117.146174,33.00444,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92128,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.066443,32.932407,0.0 -117.108233,32.943405,0.0 -117.082939,32.997842,0.0 -117.071392,33.055578,0.0 -117.041699,33.042931,0.0 -117.066443,32.932407,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92129,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.108233,32.943405,0.0 -117.113732,32.926909,0.0 -117.168719,32.930208,0.0 -117.146174,33.00444,0.0 -117.082939,32.997842,0.0 -117.108233,32.943405,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92130,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.168719,32.930208,0.0 -117.240752,32.931857,0.0 -117.16597,33.011039,0.0 -117.146174,33.00444,0.0 -117.168719,32.930208,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92131,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.059295,32.896666,0.0 -117.114832,32.893366,0.0 -117.113732,32.926909,0.0 -117.108233,32.943405,0.0 -117.066443,32.932407,0.0 -117.054346,32.92086,0.0 -117.059295,32.896666,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92133,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.217108,32.722357,0.0 -117.212709,32.744352,0.0 -117.208859,32.742702,0.0 -117.213808,32.728405,0.0 -117.215458,32.727856,0.0 -117.217108,32.722357,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92134,
92135,
92136,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.128029,32.687715,0.0 -117.110983,32.682766,0.0 -117.118131,32.657472,0.0 -117.128029,32.687715,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92139,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.058195,32.664071,0.0 -117.064244,32.688815,0.0 -117.024653,32.697613,0.0 -117.021354,32.688265,0.0 -117.058195,32.664071,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92140,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.208859,32.742702,0.0 -117.184115,32.740503,0.0 -117.213808,32.728405,0.0 -117.208859,32.742702,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92145,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.178067,32.847727,0.0 -117.189614,32.864773,0.0 -117.156072,32.881819,0.0 -117.114832,32.893366,0.0 -117.059295,32.896666,0.0 -117.070292,32.851026,0.0 -117.12253,32.843328,0.0 -117.133527,32.841129,0.0 -117.174218,32.841679,0.0 -117.178067,32.847727,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92152,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-117.255598,32.71026,0.0 -117.255049,32.712459,0.0 -117.24735,32.677817,0.0 -117.255598,32.71026,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92154,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.99716,32.545299,0.0 -117.062594,32.5398,0.0 -117.119231,32.534851,0.0 -117.092287,32.600836,0.0 -117.005408,32.592588,0.0 -116.949871,32.597536,0.0 -116.933924,32.600286,0.0 -116.86629,32.571143,0.0 -116.856943,32.557396,0.0 -116.99716,32.545299,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92155,
92173,
92182,
92201,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.181702,33.708824,0.0 -116.216894,33.656586,0.0 -116.23394,33.656586,0.0 -116.303773,33.734668,0.0 -116.27573,33.750614,0.0 -116.181702,33.708824,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92203,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.164106,33.726969,0.0 -116.181702,33.708824,0.0 -116.27573,33.750614,0.0 -116.252636,33.780857,0.0 -116.164106,33.737417,0.0 -116.164106,33.726969,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92210,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.323019,33.671433,0.0 -116.356561,33.729169,0.0 -116.303773,33.729169,0.0 -116.323019,33.671433,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92220,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.95262,33.829245,0.0 -116.946022,34.004654,0.0 -116.905331,34.034347,0.0 -116.719475,34.033797,0.0 -116.737071,33.933171,0.0 -116.797007,33.885882,0.0 -116.859692,33.801752,0.0 -116.95262,33.829245,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92223,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.95262,33.829245,0.0 -117.006507,33.845741,0.0 -117.03565,33.941419,0.0 -116.990011,33.998605,0.0 -116.946022,34.004654,0.0 -116.95262,33.829245,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92225,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-114.62777,33.433339,0.0 -114.75424,33.433889,0.0 -114.719598,33.660985,0.0 -114.513397,33.735217,0.0 -114.62777,33.433339,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92227,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-115.340951,33.140258,0.0 -115.185888,32.973098,0.0 -115.293112,32.895016,0.0 -115.455324,32.902164,0.0 -115.668674,32.926359,0.0 -115.791844,33.068225,0.0 -115.781947,33.125961,0.0 -115.752804,33.103417,0.0 -115.527357,33.044581,0.0 -115.340951,33.140258,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92230,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.720025,33.886432,0.0 -116.797007,33.885882,0.0 -116.737071,33.933171,0.0 -116.720025,33.886432,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92231,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-115.662075,32.652523,0.0 -115.690118,32.715758,0.0 -115.534505,32.723457,0.0 -115.465222,32.66737,0.0 -115.662075,32.652523,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92233,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-115.527357,33.044581,0.0 -115.697267,33.118813,0.0 -115.585643,33.21724,0.0 -115.629633,33.316766,0.0 -115.586743,33.365155,0.0 -115.340951,33.140258,0.0 -115.527357,33.044581,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92236,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.181702,33.708824,0.0 -116.164106,33.726969,0.0 -116.10802,33.671433,0.0 -116.216894,33.656586,0.0 -116.181702,33.708824,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92239,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.058531,33.613146,0.0 -116.10802,33.671433,0.0 -116.164106,33.726969,0.0 -116.164106,33.737417,0.0 -116.202047,33.861138,0.0 -116.458287,33.975511,0.0 -116.457737,34.032697,0.0 -116.304873,34.032697,0.0 -116.254285,34.034347,0.0 -115.316207,34.072838,0.0 -115.08966,34.079986,0.0 -114.435865,34.079986,0.0 -114.513397,33.735217,0.0 -114.719598,33.660985,0.0 -114.75424,33.433889,0.0 -115.676922,33.42729,0.0 -115.677471,33.42729,0.0 -116.058531,33.613146,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92240,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.458287,33.975511,0.0 -116.505576,33.874884,0.0 -116.634795,33.903478,0.0 -116.591355,34.032697,0.0 -116.457737,34.032697,0.0 -116.458287,33.975511,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92241,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.301024,33.803951,0.0 -116.463236,33.875434,0.0 -116.493479,33.867186,0.0 -116.505576,33.874884,0.0 -116.458287,33.975511,0.0 -116.202047,33.861138,0.0 -116.164106,33.737417,0.0 -116.252636,33.780857,0.0 -116.301024,33.803951,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92242,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-114.432016,34.091533,0.0 -114.466658,34.257594,0.0 -114.279702,34.259244,0.0 -114.229114,34.18831,0.0 -114.432016,34.091533,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92243,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-115.690118,32.715758,0.0 -115.772049,32.791091,0.0 -115.448176,32.840029,0.0 -115.465222,32.737203,0.0 -115.534505,32.723457,0.0 -115.690118,32.715758,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92249,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-115.465222,32.66737,0.0 -115.534505,32.723457,0.0 -115.465222,32.737203,0.0 -115.335452,32.676718,0.0 -115.336552,32.676168,0.0 -115.465222,32.66737,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92250,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-115.293112,32.895016,0.0 -115.235926,32.715758,0.0 -115.335452,32.676718,0.0 -115.465222,32.737203,0.0 -115.448176,32.840029,0.0 -115.455324,32.902164,0.0 -115.293112,32.895016,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92251,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-115.772049,32.791091,0.0 -115.72696,32.869172,0.0 -115.828686,32.92141,0.0 -115.668674,32.926359,0.0 -115.455324,32.902164,0.0 -115.448176,32.840029,0.0 -115.772049,32.791091,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92252,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.304873,34.032697,0.0 -116.334016,34.236699,0.0 -116.298825,34.265842,0.0 -116.193799,34.250996,0.0 -116.254285,34.034347,0.0 -116.304873,34.032697,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
92253,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-116.323569,33.64174,0.0 -116.323019,33.671433,0.0 -116.303773,33.729169,0.0 -116.303773,33.734668,0.0 -116.23394,33.656586,0.0 -116.285628,33.59885,0.0 -116.323569,33.64174,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
