,zipcode,population,density,land_area,wealthy,dist_to_centre,dist_to_south
453,91505,0.296249951873099,0.12078323410493727,0.0207268831382891,0.22782572090086295,0.19330147916921045,0.23692163553676734
456,91601,0.35787163592961924,0.27749828713561264,0.010878523158068237,0.1312734161229215,0.2169983970109192,0.2403320376754903
459,91602,0.168184268278597,0.16858169306169699,0.008406131531234547,0.2674300147337403,0.19549190171118486,0.21724120066743927
462,91604,0.2794632887999076,0.1115055383259752,0.021180154936541944,0.3089875815617765,0.22140355922062607,0.20210256881636607
465,91605,0.5423227967504717,0.20410052412585852,0.022457557277072684,0.0903978109871606,0.29460030732163345,0.2987098282528156
468,91606,0.4327378431448041,0.2670296858038535,0.013680567001813086,0.10209219111765944,0.2634707294830416,0.2698324957402675
471,91607,0.26880799291572016,0.2263764546183837,0.010013186088676443,0.18440749315933488,0.2497870711481343,0.2434688380389333
474,91608,0.0,0.0,0.002431185099719795,0.0,0.16612363591733706,0.1930764011320717
477,91767,0.4626727755746352,0.1691673445668364,0.023116861710895,0.1013344559040202,0.6215304502162291,0.7037381669443842
480,93536,0.6826127132021715,0.005779648049003531,1.0,0.14400336771206065,1.0,1.0
483,93551,0.4889500635275094,0.013736891025558052,0.3013433327839129,0.18162071142917285,0.8138162992792819,0.8483615608955631
