,zipcode,time,year_month,count_1m_loc,count_6m_loc,count_2y_loc,count_1m_loc_time,count_6m_loc_time,count_2y_loc_time,count_1m_time,count_6m_time,count_2y_time,crimes_per_pop,crime_type
120198,90058,0,201804,0.02427184466019417,0.015084294587400179,0.023301933564700048,0.0,0.008,0.013310185185185185,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.7511276704634865,1
120212,90058,1,201804,0.02427184466019417,0.015084294587400179,0.023301933564700048,0.010526315789473684,0.008,0.015625,0.6644257703081232,0.736726765614105,0.7699794123151787,0.7511276704634865,1
120226,90058,2,201804,0.02427184466019417,0.015084294587400179,0.023301933564700048,0.042105263157894736,0.018000000000000002,0.02546296296296296,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.7511276704634865,1
122703,90059,0,201804,0.21359223300970873,0.2440106477373558,0.2964799206742687,0.05263157894736842,0.09,0.13020833333333331,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.7521462179793692,1
122717,90059,1,201804,0.21359223300970873,0.2440106477373558,0.2964799206742687,0.18947368421052632,0.222,0.22743055555555555,0.6644257703081232,0.736726765614105,0.7699794123151787,0.7521462179793692,1
122731,90059,2,201804,0.21359223300970873,0.2440106477373558,0.2964799206742687,0.22105263157894736,0.23800000000000002,0.3344907407407407,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.7521462179793692,1
125208,90061,0,201804,0.15048543689320387,0.2209405501330967,0.2711948438274665,0.031578947368421054,0.094,0.11284722222222221,0.37198879551820724,0.42225321247136166,0.4618058340686078,1.0484881927256307,1
125222,90061,1,201804,0.15048543689320387,0.2209405501330967,0.2711948438274665,0.09473684210526316,0.158,0.23379629629629628,0.6644257703081232,0.736726765614105,0.7699794123151787,1.0484881927256307,1
125236,90061,2,201804,0.15048543689320387,0.2209405501330967,0.2711948438274665,0.19999999999999998,0.246,0.2864583333333333,0.7999999999999999,0.8933160673373842,0.9935295847704607,1.0484881927256307,1
127713,90062,0,201804,0.4223300970873786,0.49423247559893524,0.5594942984630639,0.17894736842105263,0.19,0.20081018518518517,0.37198879551820724,0.42225321247136166,0.4618058340686078,1.7710301835996656,1
127727,90062,1,201804,0.4223300970873786,0.49423247559893524,0.5594942984630639,0.4842105263157895,0.45,0.4994212962962963,0.6644257703081232,0.736726765614105,0.7699794123151787,1.7710301835996656,1
127741,90062,2,201804,0.4223300970873786,0.49423247559893524,0.5594942984630639,0.25263157894736843,0.47400000000000003,0.6059027777777778,0.7999999999999999,0.8933160673373842,0.9935295847704607,1.7710301835996656,1
130218,90063,0,201804,0.03398058252427184,0.03283052351375333,0.0384234010907288,0.0,0.01,0.017939814814814815,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.07159302676060829,1
130232,90063,1,201804,0.03398058252427184,0.03283052351375333,0.0384234010907288,0.042105263157894736,0.026000000000000002,0.029513888888888888,0.6644257703081232,0.736726765614105,0.7699794123151787,0.07159302676060829,1
130246,90063,2,201804,0.03398058252427184,0.03283052351375333,0.0384234010907288,0.031578947368421054,0.038,0.04224537037037037,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.07159302676060829,1
132723,90064,0,201804,0.02427184466019417,0.04791481810115351,0.06817055032226078,0.0,0.008,0.018518518518518517,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.2788007248781765,1
132737,90064,1,201804,0.02427184466019417,0.04791481810115351,0.06817055032226078,0.031578947368421054,0.046,0.06886574074074074,0.6644257703081232,0.736726765614105,0.7699794123151787,0.2788007248781765,1
132751,90064,2,201804,0.02427184466019417,0.04791481810115351,0.06817055032226078,0.021052631578947368,0.054,0.07175925925925926,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.2788007248781765,1
135228,90065,0,201804,0.07766990291262135,0.07453416149068323,0.07709469509172037,0.06315789473684211,0.042,0.03877314814814815,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.1759290544615066,1
135242,90065,1,201804,0.07766990291262135,0.07453416149068323,0.07709469509172037,0.031578947368421054,0.052000000000000005,0.05613425925925926,0.6644257703081232,0.736726765614105,0.7699794123151787,0.1759290544615066,1
135256,90065,2,201804,0.07766990291262135,0.07453416149068323,0.07709469509172037,0.07368421052631578,0.074,0.08506944444444443,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.1759290544615066,1
137733,90066,0,201804,0.06310679611650485,0.07808340727595386,0.08477937530986614,0.010526315789473684,0.03,0.03530092592592592,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.1593411158292348,1
137747,90066,1,201804,0.06310679611650485,0.07808340727595386,0.08477937530986614,0.06315789473684211,0.058,0.0630787037037037,0.6644257703081232,0.736726765614105,0.7699794123151787,0.1593411158292348,1
137761,90066,2,201804,0.06310679611650485,0.07808340727595386,0.08477937530986614,0.06315789473684211,0.088,0.09953703703703703,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.1593411158292348,1
140238,90067,0,201804,0.019417475728155338,0.01774622892635315,0.02107089737233515,0.0,0.002,0.005787037037037037,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.9030930981050509,1
140252,90067,1,201804,0.019417475728155338,0.01774622892635315,0.02107089737233515,0.010526315789473684,0.026000000000000002,0.020833333333333332,0.6644257703081232,0.736726765614105,0.7699794123151787,0.9030930981050509,1
140266,90067,2,201804,0.019417475728155338,0.01774622892635315,0.02107089737233515,0.031578947368421054,0.012,0.022569444444444444,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.9030930981050509,1
142743,90068,0,201804,0.014563106796116504,0.008873114463176575,0.011650966782350024,0.010526315789473684,0.004,0.008101851851851851,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.05431401960656505,1
142757,90068,1,201804,0.014563106796116504,0.008873114463176575,0.011650966782350024,0.0,0.004,0.006944444444444444,0.6644257703081232,0.736726765614105,0.7699794123151787,0.05431401960656505,1
142771,90068,2,201804,0.014563106796116504,0.008873114463176575,0.011650966782350024,0.021052631578947368,0.012,0.012152777777777776,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.05431401960656505,1
145248,90069,0,201804,0.03398058252427184,0.03637976929902396,0.038175508180466035,0.05263157894736842,0.036000000000000004,0.03819444444444444,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.19363032250573534,1
145262,90069,1,201804,0.03398058252427184,0.03637976929902396,0.038175508180466035,0.0,0.014,0.018518518518518517,0.6644257703081232,0.736726765614105,0.7699794123151787,0.19363032250573534,1
